timeStamp,blockReward
1686530987,0.013345703
1686530999,0.009190862
1686531011,0.055998672
1686531023,0.027110439
1686531035,0.009814785
1686531047,0.019792273
1686531059,0.064615936
1686531083,0.026834208
1686531095,0.048631851
1686531107,0.04046937
1686531119,0.114967951
1686531131,0.04174928
1686531143,0.05470632
1686531155,0.104541275
1686531167,0.016409685
1686531179,0.019084686
1686531191,0.015879011
1686531203,0.543716261
1686531215,0.029559095
1686531227,0.034057242
1686531239,0.011299148
1686531251,0.015810749
1686531263,0.135234772
1686531275,0.026981888
1686531287,0.020283845
1686531299,0.009891762
1686531311,0.069628897
1686531323,0.057005985
1686531335,0.033846354
1686531347,0.032498513
1686531359,0.083508634
1686531371,0.035756685
1686531383,0.128875167
1686531395,0.011725303
1686531407,0.021829312
1686531419,0.009096314
1686531431,0.028234431
1686531443,0.025767951
1686531455,0.027162161
1686531467,0.008721783
1686531479,0.079188171
1686531491,0.015128911
1686531503,0.009813935
1686531515,0.02297178
1686531527,0.022432974
1686531539,0.047301686
1686531551,0.014702141
1686531563,0.020152189
1686531575,0.005466649
1686531587,0.011457895
1686531599,0.014975074
1686531611,0.049740535
1686531623,0.398573762
1686531635,0.211421081
1686531647,0.120577263
1686531659,0.160791299
1686531671,0.263371487
1686531683,0.278693053
1686531695,0.070079977
1686531707,0.012216164
1686531719,0.033945188
1686531731,0.029586296
1686531743,0.017824017
1686531755,0.037136433
1686531767,0.035167512
1686531779,0.052826462
1686531791,0.044794737
1686531803,0.069809268
1686531815,0.030423035
1686531827,0.041366861
1686531839,0.079042792
1686531851,0.079678541
1686531863,0.046826261
1686531875,0.014676622
1686531887,0.034610432
1686531899,0.011945058
1686531911,0.017239086
1686531923,0.031605884
1686531935,0.046873091
1686531947,0.025624215
1686531959,0.124377823
1686531971,0.02440633
1686531983,0.01143114
1686531995,0.034387751
1686532007,0.037969765
1686532019,0.019538979
1686532043,0.025776699
1686532055,0.090669439
1686532067,0.017287019
1686532079,0.024203161
1686532091,0.032072117
1686532103,0.016235199
1686532115,0.044702896
1686532127,0.006671039
1686532139,0.032677728
1686532151,0.018971542
1686532163,0.010416958
1686532175,0.018496514
1686532187,0.011303265
1686532199,0.304433977
1686532211,0.045580905
1686532223,0.027451682
1686532235,0.017795011
1686532247,0.087838827
1686532259,0.011156437
1686532271,0.051035756
1686532283,0.049055891
1686532295,0.026129367
1686532307,0.071015355
1686532319,0.236314034
1686532331,0.059445391
1686532343,0.068211683
1686532355,0.333963072
1686532367,0.046166604
1686532379,0.075303609
1686532391,0.040672193
1686532403,0.029617747
1686532415,0.020650379
1686532427,0.014477134
1686532439,0.022867082
1686532451,0.02188104
1686532463,0.031154886
1686532475,0.073624264
1686532487,0.016876504
1686532499,0.019540668
1686532511,0.008576339
1686532523,0.029642432
1686532535,0.022430293
1686532547,0.0349461
1686532559,0.011507006
1686532571,0.019943073
1686532583,0.019901062
1686532595,0.06621586
1686532607,0.022224487
1686532619,0.040759036
1686532631,0.061157966
1686532643,0.022421871
1686532655,0.016878073
1686532667,0.021246972
1686532679,0.022043086
1686532691,0.033806146
1686532703,0.056545376
1686532715,0.168463604
1686532727,0.087692094
1686532739,0.019602851
1686532751,0.027230951
1686532763,0.12374989
1686532775,0.5374422
1686532787,0.148502288
1686532799,0.060557496
1686532811,0.042959735
1686532823,1.343283742
1686532835,0.123102383
1686532847,0.066161531
1686532859,0.176286404
1686532871,0.309211862
1686532883,0.06522822
1686532895,0.29940403
1686532907,0.210931924
1686532919,0.10827348
1686532931,0.055382944
1686532943,0.051381955
1686532955,0.025443076
1686532967,0.036052684
1686532979,0.322696114
1686532991,0.801773703
1686533003,0.017154379
1686533015,0.043723583
1686533027,0.067961832
1686533039,0.039818988
1686533051,0.0248047
1686533063,0.023617036
1686533075,0.263967783
1686533087,0.092553795
1686533099,0.022240658
1686533111,0.015185269
1686533123,0.142916769
1686533135,0.02672167
1686533147,0.04854613
1686533159,0.221933088
1686533171,0.179770835
1686533183,0.009497775
1686533195,0.054625881
1686533207,0.044599831
1686533219,0.050881703
1686533231,0.047030556
1686533243,0.011721753
1686533255,0.086016886
1686533267,0.022302455
1686533279,0.009482483
1686533291,0.024576857
1686533303,0.01634746
1686533315,0.041530656
1686533327,0.11737127
1686533339,0.04167198
1686533351,0.06162245
1686533363,0.012786011
1686533375,0.065760927
1686533387,0.03384714
1686533399,0.029615581
1686533411,0.037699894
1686533423,0.083275721
1686533435,0.032940029
1686533447,0.033286779
1686533459,2.055508386
1686533471,0.133153294
1686533483,0.287950046
1686533495,0.10525355
1686533507,0.032723785
1686533519,0.055585685
1686533531,0.093008944
1686533543,0.052446546
1686533555,0.01904268
1686533567,0.017670121
1686533579,0.016979702
1686533591,0.05369221
1686533603,0.022121382
1686533615,0.06072538
1686533627,0.035680181
1686533639,0.01869146
1686533651,0.039859366
1686533663,0.083343981
1686533675,0.040129573
1686533687,0.04068144
1686533699,0.022752013
1686533711,0.054234075
1686533723,0.062351216
1686533735,0.024930218
1686533747,0.041959512
1686533759,0.019937488
1686533771,0.026595172
1686533783,0.056564809
1686533795,0.01572853
1686533807,0.026173237
1686533819,0.028459057
1686533831,0.020757867
1686533843,0.008029698
1686533855,0.056382068
1686533867,0.078192662
1686533879,0.026408711
1686533891,0.241755527
1686533903,0.03119806
1686533915,0.051016875
1686533927,0.063974185
1686533939,0.017750565
1686533951,0.011556864
1686533963,0.054609736
1686533975,0.018450531
1686533987,0.029751854
1686533999,0.104106181
1686534011,0.050982039
1686534023,0.122688652
1686534035,0.044036949
1686534047,0.271228507
1686534059,0.122829402
1686534071,0.057854409
1686534083,0.062566685
1686534095,0.059463575
1686534107,0.041811246
1686534119,0.028560427
1686534131,0.026962266
1686534143,0.026881425
1686534155,0.049530668
1686534167,0.030327471
1686534179,0.039195556
1686534191,0.019332413
1686534203,0.0330601
1686534215,0.022367347
1686534227,0.040267793
1686534239,0.071751071
1686534251,0.046578679
1686534263,0.022585543
1686534275,0.029635172
1686534287,0.028963443
1686534299,0.017257646
1686534311,0.050531376
1686534323,0.050601864
1686534335,0.041631789
1686534347,0.173164518
1686534359,0.089540993
1686534371,0.053159258
1686534383,0.057506341
1686534395,1.003207389
1686534407,0.147470066
1686534419,0.060781045
1686534431,0.108838586
1686534443,0.116072587
1686534455,0.024402474
1686534479,0.021836036
1686534491,0.013041392
1686534503,0.184133547
1686534515,0.439979755
1686534527,0.051439528
1686534539,0.018034459
1686534551,0.045569093
1686534563,0.282281087
1686534575,0.015875417
1686534587,0.062830617
1686534599,0.04986833
1686534611,0.132991941
